Enemies,Health,75%,50%,25%,0%,-5%,-25%,-50%,-67%,-90%,Invulnerable
Alpha frost wolf,,fire,"light, dark, earth, air, water, normal, arcane",,"magic, ranged, melee",,,,,,
Alpha wolf,,fire,"light, dark, earth, air, water, normal, arcane",,"magic, ranged, melee",,,,,,
Bear,,fire,"light, dark, earth, air, water, normal, arcane",,"magic, ranged, melee",,,,,,
Blumb berserker,,air,"light, dark, earth, fire, water, normal, arcane",,"magic, ranged, melee",,,,,,
Blumb blowgunner,,,air,"melee, light, dark, earth, fire, normal, arcane","magic, ranged, water",,,,,,
Blumb shaman,,,"ranged, air","melee, light, dark, earth, fire, normal, arcane","magic, water",,,,,,
Blumb warrior,,,air,"magic, ranged, melee, light, dark, earth, fire, normal, arcane",water,,,,,,
Blumb wizard,,ranged,melee,air,"light, dark, earth, fire, water, normal, arcane",,,,,,
Boar,40,fire,"light, dark, earth, air, water, normal, arcane",,"magic, ranged, melee",,,,,,
Cave spider,,,water,"magic, light, dark, fire, air, normal, arcane","ranged, melee, earth",,,,,,
Cave troll,,,"ranged, water","magic, light, dark, air, normal, arcane","melee, earth fire",,,,,,
Darkened meatshield,,light,"earth, fire, air, water, normal, arcane",dark,"magic, ranged, melee",,,,,,
Darkened prisoner,100,light,"earth, fire, air, water, normal, arcane","magic, dark","ranged, melee",,,,,,
Darkened soul,100,light,"earth, fire, air, water, normal, arcane","magic, dark","ranged, melee",,,,,,
Earth elemental,1500,,"ranged, melee",water,"magic, light, dark, fire, air, normal, arcane",,,,,earth,
Icanis,1500,,"melee, earth","ranged, light, dark, fire, normal, arcane","magic, air, water",,,,,,
Forest spider,,fire,"light, dark, earth, air, water, arcane, normal",,"magic, ranged, melee",,,,,,
Forest wasp,,fire,"light, dark, earth, air, water, arcane, normal",,"magic, ranged, melee",,,,,,
Forsworn acolyte,,,light,"ranged, melee, earth, fire, air, water, normal, arcane","magic, dark",,,,,,
Forsworn blademaster,,,light,"magic, ranged, earth, fire, water, air, normal, arcane","melee, dark",,,,,,
Forsworn deathlord,10000,,light,"earth, fire, air, water, normal, arcane","magic, ranged",,,,dark,,
Forsworn guarding,,,light,"magic, earth, fire, water, air, normal, arcane","ranged, melee, dark",,,,,,
Forsworn priestess,,,light,"ranged, melee, earth, fire, air, water, normal, arcane","magic, dark",,,,,,
Frost goblin archer,150,,earth,"ranged, melee, light, dark, fire, air, normal, arcane","magic, water",,,,,,
Frost goblin bandit,150,,earth,"ranged, melee, light, dark, fire, air, normal, arcane","magic, water",,,,,,
Frost goblin deathwish,50,,earth,"ranged, melee, light, dark, fire, air, normal, arcane",water,magic,,,,,
Frost wolf,,fire,"light, dark, earth, air, normal, arcane",water,"magic, ranged, melee",,,,,,
Goblin archer,,,"light, dark, air, water, normal, arcane","melee, earth, fire","magic, ranged",,,,,,
Goblin bandit,,,"light, dark, air, water, normal, arcane","melee, earth, fire","magic, ranged",,,,,,
Goblin cryomage,300,,earth,"ranged, melee, light, dark, fire, air, normal, arcane",water,magic,,,,,
Goblin deathwish,,,ranged,"magic, melee, light, dark, water, air, normal, arcane","earth, fire",,,,,,
Goblin ecomage,,,"light, dark, air, water, normal, arcane","melee, earth, fire","magic, ranged",,,,,,
Haku,,air,"light, dark, earth, fire normal, arcane",water,"magic, ranged, melee",,,,,,
Hard shell crab,,,air,"magic, ranged, light, dark, earth, fire, normal, arcane","melee, water",,,,,,
Hydrogoop,,magic,,earth,"ranged, melee, light, dark, fire, air, normal, arcane",,,,,,water
Mama bear,,fire,"light, dark, earth, air, water, normal, arcane",,"magic, ranged, melee",,,,,,
Mutant broodmother,,light,"dark, earth, fire, air, water, normal, arcane",,"magic, ranged, melee",,,,,,
Mutant plant,,fire,"light, dark, air, water, normal, arcane","melee, earth","magic, ranged",,,,,,
Oathsworn champion,,dark,"earth, fire, air, water, normal, arcane",,"magic, light",,,"ranged, melee",,,
Oathsworn cleric,,dark,"earth, fire, air, water, normal, arcane",,"ranged, melee, light",,,magic,,,
Ogre juggernaut,,,,"ranged, melee, light, dark, water, air, normal, arcane","magic, earth, fire",,,,,,
Ogre pike,,,,"ranged, melee, light, dark, water, air, normal, arcane","magic, earth, fire",,,,,,
Ogre warlock,,,,"ranged, melee, light, dark, water, air, normal, arcane","magic, earth, fire",,,,,,
Papa bear,2000,"earth, fire","light, dark, water, normal, arcane",air,"magic, ranged, melee",,,,,,
Polar bear,250,fire,"light, dark, earth, air, normal, arcane",water,"magic, ranged, melee",,,,,,
Rock golem,300,,water,"ranged, melee, light, dark, fire, air, normal, arcane",magic,,earth,,,,
Runic polar bear,,,fire,"ranged, melee, light, dark, earth, air, normal","magic, water, arcane",,,,,,
Skeleton archer,,light,"earth, fire, air, water, normal, arcane",dark,"magic, ranged, melee",,,,,,
Skeleton necromancer,,,light,"ranged, melee, earth, fire, air, water","magic, dark",,,,,,
Skeleton soldier,,light,"earth, fire, air, water, normal, arcane",dark,"magic, ranged, melee",,,,,,
Soft shell crabs,,air,"light, dark, earth, fire normal, arcane",water,"magic, ranged, melee",,,,,,
Werewolf,,light,"dark, earth, fire, air, water, normal, arcane",magic,"ranged, melee",,,,,,
Werewolf abomination,,light,"dark, earth, fire, air, water, normal, arcane",,"magic, ranged, melee",,,,,,
Werewolf alpha,,light,"dark, earth, fire, air, water, normal, arcane",magic,"ranged, melee",,,,,,
Werewolf beserker,,light,"dark, earth, fire, air, water, normal, arcane",,"magic, ranged, melee",,,,,,
Werewolf spellweaver,,,"light, dark, earth, fire, air, water, normal, arcane",magic,"ranged, melee",,,,,,
Wolf,40,fire,"light, dark, earth, air, water, normal, arcane",,"magic, ranged, melee",,,,,,
Water elemental,,magic,,earth,"ranged, melee, light, dark, fire, air, normal, arcane",,,,,,water
Yeti,,earth,"light, dark, fire, air, normal, arcane","ranged, water","magic, melee",,,,,,
